"Qty","Reference(s)","Value","Footprint","MPN","DigiKey","LCSC","Manufacturer","DNP","Notes"
"5","C1, C23, C27, C41, C43","100n","Capacitor_SMD:C_0402_1005Metric","","","","","",""
"9","C10, C12, C15, C17, C31, C35, C5, C6, C8","10n","Capacitor_SMD:C_0402_1005Metric","","","","","",""
"10","C11, C13, C16, C18, C20, C28, C34, C42, C7, C9","100p","Capacitor_SMD:C_0402_1005Metric","","","","","",""
"7","C14, C19, C2, C21, C25, C3, C4","1u","Capacitor_SMD:C_0402_1005Metric","","","","","",""
"5","C22, C30, C37, C39, C40","1n","Capacitor_SMD:C_0402_1005Metric","","","","","",""
"1","C24","12n","Capacitor_SMD:C_0402_1005Metric","","","","","",""
"1","C26","DNP","Capacitor_SMD:C_0402_1005Metric","","","","","",""
"1","C29","820p","Capacitor_SMD:C_0402_1005Metric","","","","","",""
"1","C32","8p2","Capacitor_SMD:C_0402_1005Metric","","","","","",""
"2","C33, C38","47n","Capacitor_SMD:C_0402_1005Metric","","","","","",""
"1","C36","10p","Capacitor_SMD:C_0402_1005Metric","","","","","",""
"11","D1, D10, D11, D2, D3, D4, D5, D6, D7, D8, D9","LED","LED_SMD:LED_0603_1608Metric_Castellated","","","","","",""
"4","FB1, FB2, FB3, FB4","600R","josh-passives-smt:Ferrite_Bead_0603","","","","","",""
"1","J1","Feather","josh-connectors:featherwing-short","","","","","",""
"1","J2","SMA","josh-connectors:SMA_EDGE_MOUNT_INSET","","","","","",""
"1","L1","100n","Inductor_SMD:L_0402_1005Metric","","","","","",""
"1","R1","5K1","Resistor_SMD:R_0402_1005Metric","","","","","",""
"4","R10, R16, R19, R9","1K","Resistor_SMD:R_0402_1005Metric","","","","","",""
"1","R11","18K","Resistor_SMD:R_0402_1005Metric","","","","","",""
"1","R12","52R3","Resistor_SMD:R_0402_1005Metric","","","","","",""
"3","R13, R17, R4","49R9","Resistor_SMD:R_0402_1005Metric","","","","","",""
"1","R14","500R","Resistor_SMD:R_0402_1005Metric","","","","","",""
"1","R15","1R8","Resistor_SMD:R_0402_1005Metric","","","","","",""
"1","R18","10K","Resistor_SMD:R_0402_1005Metric","","","","","",""
"2","R2, R3","0R0","Resistor_SMD:R_0402_1005Metric","","","","","",""
"1","R20","2K2","Resistor_SMD:R_0402_1005Metric","","","","","",""
"1","R5","90R9","Resistor_SMD:R_0402_1005Metric","","","","","",""
"1","R6","31R1","Resistor_SMD:R_0402_1005Metric","","","","","",""
"1","R7","DNP","Resistor_SMD:R_0402_1005Metric","","","","","",""
"1","R8","240R","Resistor_SMD:R_0402_1005Metric","","","","","",""
"1","U1","MAX2871","josh-dfn-qfn:QFN-32-1EP_5x5mm_Pitch0.5mm_Thermal_Vias","","MAX2871ETJ+TCT-ND ","","","",""
"1","U2","LP5912","Package_DFN_QFN:DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","","296-44294-1-ND","","","",""
"1","U3","MIC5366-1.8","Package_TO_SOT_SMD:SOT-353_SC-70-5","","576-3203-1-ND","","","",""
"1","U4","SKY12347-362LF","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias","","863-1298-1-ND","","","",""
"1","U5","TRF37A75","Package_DFN_QFN:DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.5mm","","296-37886-1-ND","","","",""
"1","U6","AD8319","Package_DFN_QFN:DFN-8-1EP_2x3mm_P0.5mm_EP0.61x2.2mm","","AD8319ACPZ-R7CT-ND ","","","",""
"1","U7","STP08CP05","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","","497-6269-1-ND","","","",""
"1","XO1","ASTXR-12-19.200MHz","josh-oscillators:ASTXR-12","","535-12687-1-ND","","","",""
